,Name,Indian rupee
385,2011-01-31,61660.9
386,2011-02-28,62371.6
387,2011-03-31,64040.4
388,2011-04-29,65436.9
389,2011-05-31,67905.2
390,2011-06-30,68549.9
391,2011-07-29,69851.1
392,2011-08-31,79635.9
393,2011-09-30,84349.6
394,2011-10-31,82053.6
395,2011-11-30,88268.3
396,2011-12-30,86615.9
397,2012-01-31,84587.2
398,2012-02-29,85728.0
399,2012-03-30,84334.4
400,2012-04-30,85476.4
401,2012-05-31,86363.4
402,2012-06-29,89590.7
403,2012-07-31,88374.5
404,2012-08-31,90330.0
405,2012-09-28,95072.2
406,2012-10-31,92757.8
407,2012-11-30,94419.6
408,2012-12-31,92222.1
409,2013-01-31,90658.5
410,2013-02-28,87618.3
411,2013-03-29,86693.1
412,2013-04-30,80775.6
413,2013-05-31,77722.1
414,2013-06-28,78302.7
415,2013-07-31,76948.9
416,2013-08-30,84743.9
417,2013-09-30,86135.0
418,2013-10-31,81132.9
419,2013-11-29,79891.0
420,2013-12-31,75805.8
421,2014-01-31,77315.8
422,2014-02-28,80958.3
423,2014-03-31,81442.0
424,2014-04-30,78376.9
425,2014-05-30,76425.3
426,2014-06-30,76433.5
427,2014-07-31,78752.5
428,2014-08-29,78909.9
429,2014-09-30,75404.8
430,2014-10-31,75051.9
431,2014-11-28,72587.2
432,2014-12-31,75304.6
433,2015-01-30,77801.2
434,2015-02-27,76152.6
435,2015-03-31,73637.5
436,2015-04-30,75179.9
437,2015-05-29,76494.1
438,2015-06-30,75441.4
439,2015-07-31,71923.8
440,2015-08-31,72670.6
441,2015-09-30,74480.3
442,2015-10-30,75445.7
443,2015-11-30,71858.4
444,2015-12-31,71185.8
445,2016-01-29,73942.7
446,2016-02-29,81885.8
447,2016-03-31,83482.8
448,2016-04-29,82588.6
449,2016-05-31,84298.9
450,2016-06-30,85902.0
451,2016-07-29,89877.3
452,2016-08-31,89730.0
453,2016-09-30,88533.3
454,2016-10-31,84510.0
455,2016-11-30,83514.2
456,2016-12-30,78132.7
457,2017-01-31,81224.6
458,2017-02-28,82740.7
459,2017-03-31,81075.7
460,2017-04-28,81675.7
461,2017-05-31,80241.9
462,2017-06-30,81223.0
463,2017-07-31,79679.7
464,2017-08-31,82041.5
465,2017-09-29,84755.7
466,2017-10-31,83256.2
467,2017-11-30,83181.1
468,2017-12-29,81106.3
469,2018-01-31,84741.3
470,2018-02-28,85757.5
471,2018-03-30,86188.7
472,2018-04-30,87713.1
473,2018-05-31,88017.0
474,2018-06-29,86888.1
475,2018-07-31,85122.9
476,2018-08-31,83631.9
